id,reference,species,guild,biome,distance,control_mean,control_sd,control_n,treatment_mean,treatment_sd,treatment_n
265,"Thiollay, 1984",Morphnus guianensis,Carn,Tropical forest,2.5,0.5,0.707,28,0.11,0.332,128
266,"Thiollay, 1984",Pseudastur albicollis,Carn,Tropical forest,2.5,1.33,1.153,28,0.99,0.995,128
267,"Thiollay, 1984",Sarcoramphus papa,Carn,Tropical forest,2.5,2.66,1.631,28,0.88,0.938,128
268,"Thiollay, 1984",Spizaetus melanoleucus,Carn,Tropical forest,2.5,1.33,1.153,28,0.88,0.938,128
269,"Thiollay, 1984",Spizaetus ornatus,Carn,Tropical forest,2.5,1.33,1.153,28,0.33,0.575,128
270,"Thiollay, 2005","Amazona amazonica, A. farinosa, A. dufresniana and A. ochrocephala",Frug,Tropical forest,22.17,1.62,0.8,7,0.53,0.23,6
271,"Thiollay, 2005","Amazona amazonica, A. farinosa, A. dufresniana and A. ochrocephala",Frug,Tropical forest,41.13,1.62,0.8,7,0.79,0.39,8
272,"Thiollay, 2005",Ara chloroptera and A. macao,Frug,Tropical forest,22.17,2.02,1.27,7,0.34,0.56,6
273,"Thiollay, 2005",Ara chloroptera and A. macao,Frug,Tropical forest,41.13,2.02,1.27,7,1.08,0.77,8
274,"Thiollay, 2005",Crax alector,Frug,Tropical forest,22.17,1.27,0.48,7,0.19,0.15,6
275,"Thiollay, 2005",Crax alector,Frug,Tropical forest,41.13,1.27,0.48,7,0.62,0.49,8
276,"Thiollay, 2005",Crypturellus variegatus,Frug,Tropical forest,22.17,1.54,0.61,7,0.91,0.25,6
277,"Thiollay, 2005",Crypturellus variegatus,Frug,Tropical forest,41.13,1.54,0.61,7,1.27,0.34,8
278,"Thiollay, 2005",Odontophorus gujanensis,Omn,Tropical forest,22.17,0.89,0.57,7,0.24,0.28,6
279,"Thiollay, 2005",Odontophorus gujanensis,Omn,Tropical forest,41.13,0.89,0.57,7,0.38,0.15,8
280,"Thiollay, 2005",Penelope marail and Pipile cumanensis,Frug,Tropical forest,22.17,1.01,0.36,7,0.24,0.11,6
281,"Thiollay, 2005",Penelope marail and Pipile cumanensis,Frug,Tropical forest,41.13,1.01,0.36,7,0.92,0.43,8
282,"Thiollay, 2005",Psophia crepitans,Frug,Tropical forest,22.17,1.95,0.65,7,0.18,0.11,6
283,"Thiollay, 2005",Psophia crepitans,Frug,Tropical forest,41.13,1.95,0.65,7,0.63,0.37,8
284,"Thiollay, 2005",Ramphastos tucanus and R. vitellinus,Frug,Tropical forest,22.17,3.5,2.06,7,1.46,0.7,6
285,"Thiollay, 2005",Ramphastos tucanus and R. vitellinus,Frug,Tropical forest,41.13,3.5,2.06,7,2.05,1.54,8
286,"Thiollay, 2005",Tinamus major,Frug,Tropical forest,22.17,0.56,0.14,7,0.21,0.07,6
287,"Thiollay, 2005",Tinamus major,Frug,Tropical forest,41.13,0.56,0.14,7,0.46,0.11,8
288,Urquiza-Haas et al. 2011,Crypturellus spp.,Frug,Tropical forest,3.5,1.13,1.063,31,1.39,1.179,25
289,Urquiza-Haas et al. 2011,Ortalis vetula,Frug,Tropical forest,3.5,9.57,3.094,31,7.08,2.661,25
290,Urquiza-Haas et al. 2011,Ramphastos sulfuratus,Frug,Tropical forest,3.5,0.35,0.592,31,0.11,0.332,25
291,Urquiza-Haas et al. 2011,Crypturellus spp.,Frug,Tropical forest,3.5,1.13,1.063,31,0.57,0.755,32
292,Urquiza-Haas et al. 2011,Meleagris ocellata,Omn,Tropical forest,3.5,0.43,0.656,31,0.08,0.283,32
293,Urquiza-Haas et al. 2011,Ortalis vetula,Frug,Tropical forest,3.5,9.57,3.094,31,9.98,3.159,32
294,Urquiza-Haas et al. 2011,Ramphastos sulfuratus,Frug,Tropical forest,3.5,0.35,0.592,31,1.64,1.281,32
295,Urquiza-Haas et al. 2011,Crax rubra,Frug,Tropical forest,3.5,0.36,0.6,29,0.18,0.424,30
296,Urquiza-Haas et al. 2011,Crax rubra,Frug,Tropical forest,3.5,0.36,0.6,29,0.44,0.663,30
297,Urquiza-Haas et al. 2011,Crypturellus spp.,Frug,Tropical forest,3.5,1,1,29,0.35,0.592,30
298,Urquiza-Haas et al. 2011,Crypturellus spp.,Frug,Tropical forest,3.5,1,1,29,1.67,1.292,30
299,Urquiza-Haas et al. 2011,Meleagris ocellata,Omn,Tropical forest,3.5,0.36,0.6,29,0.18,0.424,30
300,Urquiza-Haas et al. 2011,Meleagris ocellata,Omn,Tropical forest,3.5,0.36,0.6,29,0.35,0.592,30
301,Urquiza-Haas et al. 2011,Ortalis vetula,Frug,Tropical forest,3.5,1.9,1.378,29,2.02,1.421,30
302,Urquiza-Haas et al. 2011,Ortalis vetula,Frug,Tropical forest,3.5,1.9,1.378,29,2.19,1.48,30
303,Urquiza-Haas et al. 2011,Ramphastos sulfuratus,Frug,Tropical forest,3.5,4.09,2.022,29,2.02,1.421,30
304,Urquiza-Haas et al. 2011,Ramphastos sulfuratus,Frug,Tropical forest,3.5,4.09,2.022,29,2.28,1.51,30
305,Urquiza-Haas et al. 2011,Crypturellus spp.,Frug,Tropical forest,3.5,1,1,29,1.89,1.375,30
306,Urquiza-Haas et al. 2011,Meleagris ocellata,Omn,Tropical forest,3.5,0.36,0.6,29,0.54,0.735,30
307,Urquiza-Haas et al. 2011,Ortalis vetula,Frug,Tropical forest,3.5,1.9,1.378,29,1.53,1.237,30
