Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
"Blake et al., 2013",136,Mammals,White-lipped peccary,190,Tayassu pecari,Cetartiodactyla,32.23,Frug,SC,S America,Ecuador,-76.46,-0.632,Yes,Road,1,1,0,28.1,0,5.301,photos/100 trapdays,#REF!,-8.263,1.041,Tropical forest,4.88,1656.8
"Blom et al., 2005",23,Mammals,Red duikers,35,"Cephalophus callipygus, C. dorsalis, C. leucogaster and C. nigrifrons",Cetartiodactyla,16.74,Herb,S,Africa,Central African Republic,16.348,2.953,No,Road & Settlement,3,12,0,0.19,0,0.436,n/km,10.5,-8.263,0.487,Tropical forest,5.19,647
"Blom et al., 2005",23,Mammals,Red duikers,35,"Cephalophus callipygus, C. dorsalis, C. leucogaster and C. nigrifrons",Cetartiodactyla,16.74,Herb,S,Africa,Central African Republic,16.3,2.961,No,Road & Settlement,6,12,0,0.19,0,0.436,n/km,4.3,-8.263,0.32,Tropical forest,5.19,326
"Cabassu, 2010",56,Mammals,Howler monkey,3,Alouatta palliata,Primates,7.27,Herb,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.303,0,0.551,n/km,1,-8.263,0.298,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Howler monkey,3,Alouatta palliata,Primates,7.27,Herb,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.303,0,0.551,n/km,3,-8.263,0.298,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Howler monkey,3,Alouatta palliata,Primates,7.27,Herb,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.303,0,0.551,n/km,5,-8.263,0.298,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Spider monkey,16,Ateles geoffroyi,Primates,5.28,Frug,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.599,0,0.774,n/km,1,-8.263,0.265,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Spider monkey,16,Ateles geoffroyi,Primates,5.28,Frug,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.599,0,0.774,n/km,3,-8.263,0.265,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Spider monkey,16,Ateles geoffroyi,Primates,5.28,Frug,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.599,0,0.774,n/km,5,-8.263,0.265,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,White-faced capuchin,31,Cebus capuchinus,Primates,2.73,Omn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.083,0,0.289,n/km,1,-8.263,0.309,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Ocelot,92,Leopardus pardalis,Carnivores,11.9,Carn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.038,0,0.195,n/km,1,-8.263,0.294,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Ocelot,92,Leopardus pardalis,Carnivores,11.9,Carn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.038,0,0.195,n/km,5,-8.263,0.294,Tropical forest,0.73,1485
"Cabassu, 2010",56,Mammals,Jaguar,122,Panthera onca,Carnivores,100,Carn,S,S America,Honduras,-84.841,15.675,Yes,Settlement,7,11,0,0.121,0,0.348,n/km,1,-8.263,0.312,Tropical forest,0.73,1485
